ARTISTA,ARTISTB
"['170571', 'whitey-morgan-and-the-78s', 'Whitey Morgan and the 78\xe2\x80\x99s']","['170570', 'whitey-morgan-and-the-78-s', ""Whitey Morgan and the 78's""]"
"['170674', 'why-dont-we', 'Why Dont We']","['170673', 'why-don-t-we', ""Why Don't We""]"
"['170705', 'wick-it-the-intstigator', 'Wick-It The Intstigator']","['170707', 'wick-it-the-intigator', 'Wick-It the Intigator']"
"['170706', 'wick-it-the-instigator', 'Wick-It the Instigator']","['178616', 'wick-it-the-instagator', 'wick it the instagator']"
"['170707', 'wick-it-the-intigator', 'Wick-It the Intigator']","['170706', 'wick-it-the-instigator', 'Wick-It the Instigator']"
"['17113', 'billy-woods', 'Billy Woods']","['174914', 'billy-wood', 'billy wood']"
"['171141', 'william-beckett', 'William Beckett']","['178625', 'william-becket', 'william becket']"
"['171151', 'william-clartk-green', 'William Clartk Green']","['171150', 'william-clark-green', 'William Clark Green']"
"['171179', 'william-micheal-morgan', 'William Micheal Morgan']","['168450', 'william-michael-morgan', 'WILLIAM MICHAEL MORGAN']"
"['171225', 'willie-graff', 'Willie Graff']","['171224', 'willie-graf', 'Willie Graf']"
"['17161', 'binky-griptite', 'Binky Griptite']","['174916', 'binkey-griptite', 'binkey Griptite']"
"['171825', 'wolf-ft-scott-metzger', 'Wolf! Ft. Scott Metzger']","['171826', 'wolf-feat-scott-metzger', 'Wolf! feat. Scott Metzger']"
"['171901', 'wolves-at-the-gatte', 'Wolves At The Gatte']","['171900', 'wolves-at-the-gate', 'Wolves At The Gate']"
"['172037', 'woody-mcbride', 'Woody McBride']","['178642', 'woody-mc-bride', 'woody mc bride']"
"['172045', 'woody-woodworth-the-rebel-city', 'Woody Woodworth & The Rebel City']","['172044', 'woody-woodsworth-the-rebel-city', 'Woody Woodsworth & The Rebel City']"
"['172290', 'wreckless-endeavour', 'Wreckless Endeavour']","['172289', 'wreckless-endeavor', 'Wreckless Endeavor']"
"['172666', 'xylouriswhite', 'XylourisWhite']","['172665', 'xylouris-white', 'Xylouris White']"
"['172671', 'y-los-dos-pistoloes', 'Y Los Dos Pistoloes']","['172670', 'y-los-dos-pistoles', 'Y Los Dos Pistoles']"
"['172856', 'yaniss-odua', 'Yaniss Odua']","['172698', 'yanis-odua', 'YANIS ODUA']"
"['17301', 'birelli-lagrene', 'Bir\xc3\xa9lli Lagr\xc3\xa8ne']","['17300', 'bireli-lagrene', 'Bir\xc3\xa9li Lagr\xc3\xa8ne']"
"['173119', 'yo-mama-s-big-fat-bootyband', ""Yo Mama's Big Fat Bootyband""]","['173118', 'yo-mama-s-big-fat-booty-band', ""Yo Mama's Big Fat Booty Band""]"
"['173120', 'yo-mamma-s-big-fat-booty-band', ""Yo Mamma's Big Fat Booty Band""]","['173119', 'yo-mama-s-big-fat-bootyband', ""Yo Mama's Big Fat Bootyband""]"
"['173183', 'yonder-mountain-stringband', 'Yonder Mountain Stringband']","['173182', 'yonder-mountain-string-band', 'Yonder Mountain String Band']"
"['173225', 'you-and-i-underwater', 'You And I Underwater']","['173224', 'you-and-i-under-water', 'You And I Under Water']"
"['173715', 'zbigniew-wodecki-with-mitch-mitch-orchestra-and-choir', 'ZBIGNIEW WODECKI WITH MITCH & MITCH ORCHESTRA AND CHOIR']","['174050', 'zbigniew-wodecki-mitch-mitch-orchestra-and-choir', 'Zbigniew Wodecki Mitch & Mitch Orchestra and Choir']"
"['173863', 'zach-nytomt', 'Zach Nytomt']","['173862', 'zach-nytompt', 'Zach Nytompt']"
"['173953', 'zak-dowtown', 'Zak Dowtown']","['173952', 'zak-downtown', 'Zak Downtown']"
"['174625', 'arejayella', 'aReJayElla']","['174624', 'arejay-ella', 'aReJay Ella']"
"['174629', 'aalmadili', 'aalmadili']","['2711', 'aalma-dili', 'Aalma Dili']"
"['174920', 'birdsmakingmaschine', 'birdsmakingmaschine']","['17265', 'birdsmakingmachine', 'BirdsMakingMachine']"
"['174939', 'blackalicous', 'blackalicous']","['18017', 'blackalicious', 'Blackalicious']"
"['17494', 'black-botton-lighters', 'Black Botton Lighters']","['17493', 'black-bottom-lighters', 'Black Bottom Lighters']"
"['174991', 'braidedveins', 'braidedveins']","['20603', 'braided-veins', 'Braided Veins']"
"['175048', 'calvin-cornell', 'calvin cornell']","['24525', 'calvin-cornel', 'Calvin Cornel']"
"['175097', 'cherry-bombz', 'cherry bombz']","['27500', 'cherry-bomb', 'Cherry Bomb']"
"['175210', 'crushingcrayons', 'crushingcrayons']","['33064', 'crushing-crayons', 'Crushing Crayons']"
"['175279', 'db-chuck-alvarez-jeff-olson-bob-gross-and', 'db/chuck alvarez/jeff olson/bob gross/ and ...??']","['33989', 'db-chuck-alvarez-jeff-olson-bob-gross', 'DB/Chuck Alvarez/Jeff Olson/Bob Gross']"
"['175302', 'deanna-bogart-chuck-alvarez-jeff-olson-bob-gross-and', 'deanna bogart/chuck alvarez/jeff olson/bob gross/and........']","['40378', 'deanna-bogart-chuck-alvarez-jeff-olson-bob-gross', 'Deanna Bogart/Chuck Alvarez/Jeff Olson/Bob Gross']"
"['175629', 'f-u-marylu', 'f u marylu']","['51908', 'f-u-marylou', 'F U MaryLou']"
"['175723', 'friends-w-o-benfits', 'friends w/o benfits']","['56857', 'friends-w-o-benefits', 'Friends W/O Benefits']"
"['175724', 'frnkiero-andthe-cellabration', 'frnkiero andthe cellabration']","['56902', 'frnkiero-and-the-cellabration', 'FrnkIero And The Cellabration']"
"['175736', 'fuck-art-lets-dance', 'fuck art, let\xc2\xb4s dance']","['57118', 'fuck-art-let-s-dance', ""Fuck Art, Let's Dance""]"
"['175898', 'hendrikvogel', 'hendrikvogel']","['65542', 'hendrik-vogel', 'Hendrik Vogel']"
"['176132', 'imagikaom', 'imagikaom']","['69305', 'imagika-om', 'Imagika Om']"
"['176242', 'jj-thames-the-violter-revolt', 'jj thames & the violter revolt']","['76135', 'jj-thames-the-violet-revolt', 'Jj Thames & the Violet ReVolt']"
"['176768', 'nachovelasco', 'nachovelasco']","['106017', 'nacho-velasco', 'Nacho Velasco']"
"['176880', 'ol-silvertongue', ""ol'silvertongue""]","['111191', 'ol-silver-tongue', ""Ol'Silver tongue""]"
"['176947', 'pallbearer', 'pallbearer']","['114010', 'pallbeaerer', 'Pallbeaerer']"
"['177008', 'piers-facini', 'piers facini']","['117180', 'piers-faccini', 'Piers Faccini']"
"['177105', 'rapture-rukus', 'rapture rukus']","['121796', 'rapture-ruckus', 'Rapture Ruckus']"
"['177175', 'roky-erikson', 'roky erikson']","['125973', 'roky-erickson', 'Roky Erickson']"
"['177230', 'sandy-campbell-robby-campbell-steve-volk-steven-gore-mario-bozza', 'sandy Campbell, Robby Campbell, steve Volk, Steven Gore , Mario Bozza']","['177238', 'sandy-campbell-robby-campbell-stephen-volk-steven-gore-mario-bozza', 'sandy campbell, robby campbell, stephen volk, steven gore, mario bozza']"
"['177313', 'shahrokhdini', 'shahrokhdini']","['133150', 'shahrokh-dini', 'Shahrokh Dini']"
"['177329', 'shonen-kniife', 'shonen kniife']","['134117', 'shonen-knife', 'Shonen Knife']"
"['177419', 'somesurprises', 'somesurprises']","['177418', 'somesurpises', 'somesurpises']"
"['177430', 'sonikgroove', 'sonikgroove']","['128511', 'sonik-groove', 'SONIK GROOVE']"
"['177490', 'statiqbloom', 'statiqbloom']","['139874', 'statiq-bloom', 'Statiq Bloom']"
"['177814', 'the-hand-of-gravilo', 'the Hand of Gravilo']","['151616', 'the-hand-of-gavrilo', 'The Hand of Gavrilo']"
"['17787', 'black-prarie', 'Black Prarie']","['17786', 'black-prairie', 'Black Prairie']"
"['178004', 'the-san-fransisco-symphony', 'the San Fransisco Symphony']","['156348', 'the-san-francisco-symphony', 'The San Francisco Symphony']"
"['178042', 'the-south-austin-moonlighters', 'the South Austin Moonlighters']","['157058', 'the-south-austin-moolighters', 'The South Austin Moolighters']"
"['178134', 'the-broomstix', 'the broomstix']","['148359', 'the-broomestix', 'The Broomestix']"
"['178138', 'the-copactetics', 'the copactetics']","['149064', 'the-copacetics', 'The Copacetics']"
"['178147', 'the-dollyrotts', 'the dollyrotts']","['149938', 'the-dollyrots', 'The Dollyrots']"
"['178562', 'waka-floka-flame', 'waka floka flame']","['168630', 'waka-flocka-flame', 'Waka Flocka Flame']"
"['178564', 'walker-lukens-and-the-sidearms', 'walker lukens and the sidearms']","['168727', 'walker-lukens-and-the-side-arms', 'Walker Lukens and the Side Arms']"
"['178606', 'whipporwill', 'whipporwill']","['170278', 'whippoorwill', 'Whippoorwill']"
"['1789', 'a-perfect-tool-tribute-to-a-perfect-circle-tool', 'A Perfect Tool: Tribute to A Perfect Circle & Tool']","['1780', 'a-perfect-tool-tribute-to-a-perfect-circle-and-tool', 'A PERFECT TOOL: Tribute to A PERFECT CIRCLE and TOOL']"
"['17961', 'black-water-mountain', 'Black Water Mountain']","['17960', 'black-water-mounatin', 'Black Water Mounatin']"
"['17968', 'black-whisky', 'Black Whisky']","['17967', 'black-whiskey', 'Black Whiskey']"
"['18028', 'blackberry-bushes-stringband', 'Blackberry Bushes Stringband']","['18027', 'blackberry-bushes-string-band', 'Blackberry Bushes String Band']"
"['18375', 'blaze-ya-dead-homie', 'Blaze- Ya Dead Homie']","['18371', 'blaze-ya-dead-homey', 'Blaze Ya Dead Homey']"
"['1849', 'a-sleepless-malice', 'A Sleepless Malice']","['1848', 'a-sleepless-malic', 'A Sleepless Malic']"
"['18574', 'blink-180true', 'Blink 180true']","['18573', 'blink-180-true', 'Blink 180-True']"
"['18607', 'blitzentrapper', 'BlitzenTrapper']","['18606', 'blitzen-trapper', 'Blitzen Trapper']"
"['18616', 'blizzard-of-ozz', 'Blizzard Of Ozz']","['18615', 'blizzard-of-oz', 'Blizzard Of Oz']"
"['18749', 'blood-on-the-dance-floor', 'Blood on the Dance Floor']","['174952', 'blood-on-the-dance-flooor', 'blood on the dance flooor']"
"['18859', 'blowdryer-punk-soul', 'Blowdryer Punk Soul']","['18858', 'blowbryer-punk-soul', 'Blowbryer Punk Soul']"
"['18921', 'blue-edmonson', 'Blue Edmonson']","['18920', 'blue-edmondson', 'Blue Edmondson']"
"['19092', 'bluesqueezebox', 'Bluesqueezebox']","['19091', 'bluesqueeze-box', 'Bluesqueeze Box']"
"['19235', 'bob-franceshini', 'Bob Franceshini']","['19234', 'bob-franceschini', 'Bob Franceschini']"
"['19324', 'bobby-blotzers-ratt-experience', 'Bobby Blotzers RATT Experience']","['19323', 'bobby-blotzer-s-ratt-experience', ""Bobby Blotzer's Ratt Experience""]"
"['19383', 'bobby-lee-rogers-trio', 'Bobby Lee Rogers Trio']","['19382', 'bobby-lee-rodgers-trio', 'Bobby Lee Rodgers Trio']"
"['19393', 'bobby-mahony-the-seventh-son', 'Bobby Mahony & The Seventh Son']","['19391', 'bobby-mahoney-the-seventh-son', 'Bobby Mahoney & The Seventh Son']"
"['19409', 'bobby-osborne-the-rocky-top-x-press', 'Bobby Osborne & The Rocky Top X-Press']","['19408', 'bobby-osborne-the-rocky-top-express', 'Bobby Osborne & The Rocky Top Express']"
"['19486', 'bodhaktan', 'Bodh\xe2\x80\x99aktan']","['19482', 'bodh-aktan', ""Bodh'aktan""]"
"['19551', 'bogtrotters-union', 'Bogtrotters Union']","['19550', 'bogtrotter-s-union', ""Bogtrotter's Union""]"
"['1969', 'a-asp-ferg', 'A$ASP Ferg']","['1968', 'a-ap-ferg', 'A$AP Ferg']"
"['19746', 'bones-jugs-n-harmony', 'Bones Jugs N Harmony']","['19747', 'bones-jugs-and-harmony', 'Bones Jugs and Harmony']"
"['19791', 'bongoman-rick', 'Bongoman Rick']","['19790', 'bongo-man-rick', 'Bongo Man Rick']"
"['19941', 'boom-forrest', 'Boom Forrest']","['19940', 'boom-forest', 'Boom Forest']"
"['19949', 'boom-unity-brass-band', 'Boom Unity Brass Band']","['19948', 'boom-unit-brass-band', 'Boom Unit Brass Band']"
"['19995', 'bootie-sf', 'Bootie SF']","['19994', 'bootie-s-f', 'Bootie S.F.']"
"['20219', 'both-sides-of-the-story-acoustic-with-cody-canada', 'Both Sides of The Story Acoustic with Cody Canada']","['20218', 'both-sides-of-the-story-acoustic-w-cody-canada', 'Both Sides of The Story Acoustic w/ Cody Canada']"
"['20322', 'bowievision', 'BowieVision']","['20320', 'bowie-vision', 'Bowie Vision']"
"['20372', 'boy-better-kow', 'Boy Better Kow']","['20371', 'boy-better-know', 'Boy Better Know']"
"['2038', 'a-m-feelgood', 'A.M. feelgood']","['2037', 'a-m-feel-good', 'A.M. feel good']"
"['20450', 'bozz-scaggs', 'Bozz Scaggs']","['20449', 'boz-scaggs', 'Boz Scaggs']"
"['20679', 'brandi-carlisle', 'Brandi Carlisle']","['20678', 'brandi-carlile', 'Brandi Carlile']"
"['20707', 'brandon-calllies-band', 'Brandon Calllies Band']","['20706', 'brandon-callies-band', 'Brandon Callies Band']"
"['20819', 'branford-marsalis-saxophones', 'Branford Marsalis, saxophones']","['20818', 'branford-marsalis-saxophone', 'Branford Marsalis, saxophone']"
"['20849', 'brassens-not-dead', 'Brassens not dead']","['20848', 'brassen-s-not-dead', ""Brassen's Not Dead""]"
"['20855', 'brastracks', 'Brastracks']","['20854', 'brasstracks', 'Brasstracks']"
"['20877', 'brave-the-breakdown', 'Brave The Breakdown']","['20876', 'brave-the-brakdown', 'Brave The Brakdown']"
"['20878', 'brave-ulysses', 'Brave Ulysses']","['174995', 'brave-ullysses', 'brave ullysses']"
"['20971', 'breakdowns-at-tiffanys-and-more', 'Breakdowns At Tiffanys And More']","['20970', 'breakdowns-at-tiffany-s-and-more', ""Breakdowns At Tiffany's and More""]"
"['20992', 'breaking-benjamin', 'Breaking Benjamin']","['20991', 'breaking-bejamin', 'Breaking Bejamin']"
"['21140', 'brennen-leigh-noel-mckay', 'Brennen Leigh & Noel Mckay']","['21139', 'brennen-leigh-joel-mckay', 'Brennen Leigh & Joel McKay']"
"['21591', 'bridget-kearney-benjamin-lazar-davis', 'Bridget Kearney & Benjamin Lazar Davis']","['21590', 'bridget-kearney-banjamin-lazar-davis', 'Bridget Kearney & Banjamin Lazar Davis']"
"['21961', 'broken-heros', 'Broken Heros']","['21960', 'broken-heroes', 'Broken Heroes']"
"['2219', 'aj-davila-y-terror-amor', 'AJ Davila y Terror Amor']","['2218', 'aj-davila-terror-amor', 'AJ Davila & Terror Amor']"
"['22224', 'brothers-osborne', 'Brothers Osborne']","['22223', 'brothers-osborn', 'Brothers Osborn']"
"['22225', 'brothers-osbourne', 'Brothers Osbourne']","['22224', 'brothers-osborne', 'Brothers Osborne']"
"['22335', 'bruce-robison', 'Bruce Robison']","['22334', 'bruce-robinson', 'Bruce Robinson']"
"['22342', 'bruce-sundano', 'Bruce Sundano']","['22341', 'bruce-sudano', 'Bruce Sudano']"
"['224', 'residualkid', '#residualkid']","['123592', 'residual-kid', 'Residual Kid']"
"['2246', 'aj-vincet', 'AJ Vincet']","['2245', 'aj-vincent', 'AJ Vincent']"
"['22463', 'bryan-ellijah-smith', 'Bryan Ellijah Smith']","['22462', 'bryan-elijah-smith', 'Bryan Elijah Smith']"
"['22528', 'bryce-merritt', 'Bryce Merritt']","['22527', 'bryce-merrit', 'Bryce Merrit']"
"['22541', 'brynn-elliott', 'Brynn Elliott']","['22540', 'brynn-elliot', 'Brynn Elliot']"
"['22569', 'bubba-sparxxx', 'Bubba Sparxxx']","['22568', 'bubba-sparkxxx', 'Bubba Sparkxxx']"
"['2264', 'aka-aka-ft-thalstroem', 'AKA AKA ft. Thalstroem']","['4637', 'aka-aka-feat-thalstroem', 'Aka Aka feat. Thalstroem']"
"['22688', 'buddy-jewell', 'Buddy Jewell']","['22687', 'buddy-jewel', 'Buddy Jewel']"
"['22830', 'bullet-heights', 'Bullet Heights']","['22829', 'bullet-height', 'Bullet Height']"
"['22881', 'bumpin-uglies', 'Bumpin Uglies']","['22880', 'bumpin-ugies', 'Bumpin Ugies']"
"['22882', 'bumpin-uglis', 'Bumpin Uglis']","['22881', 'bumpin-uglies', 'Bumpin Uglies']"
"['23044', 'burnell-washburn', 'Burnell Washburn']","['23043', 'burnell-wasburn', 'Burnell Wasburn']"
"['23160', 'bus-stop-stallions', 'Bus Stop Stallions']","['23159', 'bus-stop-stalliions', 'Bus Stop Stalliions']"
"['233', 'wingin-utters', '$wingin UtterS']","['234', 'wingin-utter', ""$wingin' Utter$""]"
"['2356', 'allegeaeon', 'ALLEGEAEON']","['6175', 'allegaeon', 'Allegaeon']"
"['23630', 'chameleonsvox', 'CHAMELEONSVOX']","['26680', 'chameleons-vox', 'Chameleons Vox']"
"['24216', 'cajsastina-akerstrom', 'CajsaStina \xc3\x85kerstr\xc3\xb6m']","['24215', 'cajsa-stina-akerstrom', 'Cajsa-Stina \xc3\x85kerstr\xc3\xb6m']"
"['2437', 'andre-galluzzi', 'ANDRE GALLUZZI']","['174746', 'andre-galluzi', 'andre galluzi']"
"['24475', 'callipe-musicals', 'Callipe Musicals']","['24474', 'calliope-musicals', 'Calliope Musicals']"
"['24560', 'camarro-suicide', 'Camarro Suicide']","['24559', 'camaro-suicide', 'Camaro Suicide']"
"['24634', 'camille-osullivan', 'Camille O\xe2\x80\x99Sullivan']","['24633', 'camille-o-sullivan', ""Camille O'Sullivan""]"
"['24882', 'caoimhin-o-raghalliagh', ""Caoimhin O'Raghalliagh""]","['24883', 'caoimhin-o-raghallaigh', ""Caoimh\xc3\xadn \xc3\x93'raghallaigh""]"
"['25356', 'carnage-calligrphy', 'Carnage Calligrphy']","['25355', 'carnage-calligraphy', 'Carnage Calligraphy']"
"['25408', 'carol-pacey-the-honeyshakers', 'Carol Pacey & the Honeyshakers']","['25407', 'carol-pacey-the-honey-shakers', 'Carol Pacey & the Honey Shakers']"
"['25409', 'carol-pacey-and-the-honeyshakers', 'Carol Pacey and the Honeyshakers']","['23554', 'carol-pacey-and-the-honey-shakers', 'CAROL PACEY AND THE HONEY SHAKERS']"
"['25536', 'carrie-elkin', 'Carrie Elkin']","['25535', 'carrie-ekin', 'Carrie Ekin']"
"['25552', 'carrie-rodriguez', 'Carrie Rodriguez']","['25551', 'carrie-rodgriguez', 'Carrie Rodgriguez']"
"['25581', 'carry-illionois', 'Carry Illionois']","['25580', 'carry-illinois', 'Carry Illinois']"
"['25733', 'casey-james-prestwood-the-burning-angels', 'Casey James Prestwood & the Burning Angels']","['25734', 'casey-james-prestwood-and-the-burning-angels', 'Casey James Prestwood and the Burning Angels']"
"['25834', 'cass-mccombs', 'Cass McCombs']","['25833', 'cass-maccombs', 'Cass Maccombs']"
"['25853', 'casseurs-flowters', 'Casseurs Flowters']","['25852', 'casseur-flowters', 'Casseur Flowters']"
"['26043', 'cate-lebon', 'Cate LeBon']","['26042', 'cate-le-bon', 'Cate Le Bon']"
"['26059', 'catfish-and-the-bottlemen', 'Catfish and the Bottlemen']","['26054', 'catfish-and-the-bottle-men', 'Catfish And The Bottle men']"
"['26060', 'catfish-and-the-bottlmen', 'Catfish and the Bottlmen']","['26059', 'catfish-and-the-bottlemen', 'Catfish and the Bottlemen']"
"['26155', 'cause-n-effect', 'Cause N Effect']","['26154', 'cause-in-effect', 'Cause In Effect']"
"['2618', 'atmospheres', 'ATMOSPH\xc3\x88RES']","['11107', 'atmosphere', 'Atmosphere']"
"['26303', 'cedric-burnsie-project', 'Cedric Burnsie Project']","['26302', 'cedric-burnside-project', 'Cedric Burnside Project']"
"['26334', 'celebrity-allstar-band', 'Celebrity Allstar Band']","['26333', 'celebrity-all-star-band', 'Celebrity All Star Band']"
"['26455', 'centrillia', 'Centrillia']","['26454', 'centrilia', 'Centrilia']"
"['26721', 'chancelor-warhol', 'Chancelor Warhol']","['26720', 'chancellor-warhol', 'Chancellor Warhol']"
"['26817', 'chaostrophe', 'Chaostrophe']","['26816', 'chaostrhophe', 'Chaostrhophe']"
"['27003', 'charlie-don-t-surf', ""Charlie Don't Surf""]","['27002', 'charlie-doesn-t-surf', ""Charlie Doesn't Surf""]"
"['27125', 'charlotte-dewitte', 'Charlotte Dewitte']","['27140', 'charlotte-de-witte', 'Charlotte de Witte']"
"['27430', 'chelsea-wolfe', 'Chelsea Wolfe']","['27429', 'chelsea-wolf', 'Chelsea Wolf']"
"['27506', 'cherry-glazerr', 'Cherry Glazerr']","['27505', 'cherry-glazer', 'Cherry Glazer']"
"['27518', 'cherry-royale', 'Cherry Royale']","['27517', 'cherry-royal', 'Cherry Royal']"
"['27726', 'children-lost-in-time', 'Children Lost In Time']","['27725', 'children-losit-in-time', 'Children Losit In Time']"
"['27799', 'china-moses-vocals', 'China Moses - Vocals']","['27800', 'china-moses-vocal', 'China Moses - vocal']"
"['27910', 'chodegang', 'Chodegang']","['27909', 'chode-gang', 'Chode Gang']"
"['28064', 'chris-brazel-band', 'Chris Brazel Band ']","['28063', 'chris-brazeal-band', 'Chris Brazeal Band']"
"['28081', 'chris-canterbury', 'Chris Canterbury']","['28080', 'chris-cantebury', 'Chris Cantebury']"
"['28195', 'chris-gennett', 'Chris Gennett']","['39', 'chris-gennet', ' Chris Gennet']"
"['28258', 'chris-jennings-basse', 'Chris Jennings \xe2\x80\x93 basse']","['28256', 'chris-jennings-bass', 'Chris Jennings - Bass']"
"['28260', 'chris-johnston', 'Chris Johnston']","['28259', 'chris-johnson', 'Chris Johnson']"
"['2836', 'aaron-sandovall', 'Aaron Sandovall']","['2835', 'aaron-sandoval', 'Aaron Sandoval']"
"['28429', 'chris-rockwell-the-stickball-social-club', 'Chris Rockwell & The Stickball Social Club']","['28430', 'chris-rockwell-and-the-stickball-social-club', 'Chris Rockwell and The Stickball Social Club']"
"['28577', 'chris-thejunglist', 'Chris theJunglist']","['28509', 'chris-the-junglist', 'Chris The Junglist ']"
"['2858', 'aaron-west-the-roaring-twenties', 'Aaron West & The Roaring Twenties']","['2857', 'aaron-west-the-roarding-twenties', 'Aaron West & The Roarding Twenties']"
"['28662', 'christian-lee-hutson', 'Christian Lee Hutson']","['28661', 'christian-lee-hudson', 'Christian Lee Hudson ']"
"['2905', 'abandon-the-midwest', 'Abandon The Midwest']","['2904', 'abandon-the-midewest', 'Abandon The Midewest']"
"['29072', 'chunk-no-captain-chunk', 'Chunk! No, captain chunk!']","['175128', 'chunk-no-captain-chunck', 'chunk! no captain chunck']"
"['29076', 'chupacabra', 'Chupacabra']","['29075', 'chupa-cabra', 'Chupa Cabra']"
"['29077', 'chupacabras', 'Chupacabras']","['29076', 'chupacabra', 'Chupacabra']"
"['29226', 'circa-suvive', 'Circa Suvive']","['29225', 'circa-survive', 'Circa Survive']"
"['2959', 'abby-gogo', 'Abby Gogo']","['2958', 'abby-go-go', 'Abby Go Go']"
"['29663', 'claude-valdivia', 'Claude Valdivia']","['29662', 'claude-valdiva', 'Claude Valdiva']"
"['29682', 'claudio-citarella', 'Claudio Citarella']","['29681', 'claudio-citareella', 'Claudio Citareella']"
"['29903', 'clinton-fearon-boogie-brown-band', 'Clinton Fearon & Boogie Brown Band']","['29902', 'clinton-fearon-boogie-brown-ba', 'Clinton Fearon & Boogie Brown Ba']"
"['29983', 'closed-for-private-event', 'Closed For Private Event']","['29986', 'closed-for-a-private-event', 'Closed for a Private Event']"
"['30202', 'cochemea-gastelum', 'Cochemea Gastelum']","['30201', 'cochema-gastelum', 'Cochema Gastelum']"
"['30540', 'cole-swindell', 'Cole Swindell']","['30539', 'cole-swindel', 'Cole Swindel']"
"['3060', 'abolsihment-of-flesh', 'Abolsihment of Flesh']","['3059', 'abolishment-of-flesh', 'Abolishment of Flesh']"
"['30704', 'colm-mac-con-ionaire', 'Colm Mac Con Ionaire']","['30703', 'colm-mac-con-iomaire', 'Colm Mac Con Iomaire']"
"['30940', 'commie-hilfinger', 'Commie Hilfinger']","['30939', 'commie-hilfiger', 'Commie Hilfiger']"
"['30943', 'commisure', 'Commisure']","['30942', 'commissure', 'Commissure']"
"['31285', 'consider-the-source', 'Consider the Source']","['31282', 'consider-the-souce', 'Consider The Souce']"
"['31315', 'constellations', 'Constellations']","['31314', 'constelations', 'Constelations']"
"['31359', 'continental-drift', 'Continental Drift']","['31358', 'continental-drifft', 'Continental Drifft']"
"['31426', 'convoy-and-the-cattlemen', 'Convoy and the Cattlemen']","['175187', 'convoy-and-the-cattleman', 'convoy and the cattleman']"
"['31439', 'coogans-bluff', 'Coogans Bluff']","['23875', 'coogan-s-bluff', ""COOGAN'S BLUFF""]"
"['31627', 'corey-holcomb', 'Corey Holcomb']","['31626', 'corey-holcolmb', 'Corey Holcolmb']"
"['31793', 'corty-byron', 'Corty Byron']","['31792', 'corty-bryron', 'Corty Bryron']"
"['320', 'and-you-will-know-us-by-the-trail-of-the-deas', '.....And You Will Know Us By the Trail of the Deas']","['323', 'and-you-will-know-us-by-the-trail-of-the-dead', '...And You Will Know Us By The Trail Of The Dead']"
"['323', 'and-you-will-know-us-by-the-trail-of-the-dead', '...And You Will Know Us By The Trail Of The Dead']","['324', 'and-you-will-know-us-by-the-trail-of-dead', '...And You Will Know Us by the Trail of Dead']"
"['32562', 'creepsville666', 'Creepsville666']","['32561', 'creepsville-666', 'Creepsville 666']"
"['32624', 'crime-in-stero', 'Crime In Stero']","['32625', 'crime-in-stereo', 'Crime in Stereo']"
"['33027', 'crumbsntchers', 'Crumbsntchers']","['33026', 'crumbsnatchers', 'CrumbSnatchers']"
"['33124', 'cryptopsy', 'Cryptopsy']","['33123', 'cryptopsty', 'Cryptopsty']"
"['33246', 'culoe-e-song', 'Culoe e Song']","['33245', 'culoe-de-song', 'Culoe de Song']"
"['33361', 'curly-castro', 'Curly Castro']","['33360', 'curly-casto', 'Curly Casto']"
"['33503', 'cutty-flam', 'Cutty Flam']","['33502', 'cutty-fam', 'Cutty Fam']"
"['33592', 'cypress-hilll', 'Cypress Hilll']","['33591', 'cypress-hill', 'Cypress Hill']"
"['33643', 'cecile-francioa', 'C\xc3\xa9cile Francioa']","['26278', 'cecile-francio', 'Cecile Francio']"
"['33644', 'cecile-mclorin-salvant', 'C\xc3\xa9cile McLorin Salvant']","['23598', 'cecile-mc-lorin-salvant', 'CECILE MC LORIN SALVANT']"
"['33942', 'dave-ogrady', 'DAVE OGRADY ']","['38908', 'dave-o-grady', ""Dave O'Grady""]"
"['33984', 'db-chuck-alvarez-bob-gross-jeff-olson-and', 'DB/CHUCK ALVAREZ/BOB GROSS/JEFF OLSON and...']","['175278', 'db-chuck-alvarez-bob-gross-jeff-olson', 'db/chuck alvarez/bob gross/jeff olson']"
"['3420', 'acoustic-syndicate', 'Acoustic Syndicate']","['3419', 'acoustic-sydicate', 'Acoustic Sydicate']"
"['34208', 'devil-maycare', 'DEVIL MAYCARE']","['42109', 'devil-may-care', 'Devil May Care']"
"['3450', 'across-the-atlantic', 'Across The Atlantic']","['3449', 'across-the-atlanic', 'Across The Atlanic ']"
"['34512', 'dj-bobbysoul', 'DJ BobbySoul']","['34446', 'dj-bobby-soul', 'DJ BOBBY SOUL']"
"['34530', 'dj-breezy', 'DJ Breezy']","['34529', 'dj-breeazy', 'DJ Breeazy']"
"['34569', 'dj-camilo', 'DJ Camilo']","['34550', 'dj-camilio', 'DJ CAMILIO']"
"['34785', 'dj-donnied', 'DJ DonnieD ']","['34784', 'dj-donnie-d', 'DJ Donnie D']"
"['35148', 'dj-joel-demarzo', 'DJ Joel DeMarzo']","['35147', 'dj-joel-de-marzo', 'DJ Joel De Marzo']"
"['35151', 'dj-john-josph', 'DJ John Josph']","['35150', 'dj-john-joseph', 'DJ John Joseph']"
"['35343', 'dj-londonjade', 'DJ LondonJade']","['35342', 'dj-london-jade', 'DJ London Jade']"
"['35455', 'dj-megamission', 'DJ MegaMission']","['35454', 'dj-mega-mission', 'DJ Mega Mission']"
