ARTISTA,ARTISTB
"['112577', 'orsome-wells', 'Orsome wells']","['112576', 'orsome-welles', 'Orsome Welles']"
"['112820', 'oui-legionnaires', 'Oui Legionnaires']","['112819', 'oui-legionaires', 'Oui Legionaires']"
"['113108', 'overthrow-the-pharoah', 'Overthrow the Pharoah']","['113107', 'overthrow-the-pharaoh', 'Overthrow The Pharaoh']"
"['113244', 'ozzy-ozzspawn', 'Ozzy OzzSpawn']","['113245', 'ozzy-ozzpawn', 'Ozzy Ozzpawn']"
"['113475', 'phantogram', 'PHANTOGRAM']","['116513', 'phantograhm', 'Phantograhm']"
"['113498', 'phresh-boiz', 'PHRESH BOIZ']","['116986', 'phresh-boiiz', 'Phresh Boiiz']"
"['113586', 'plush-a-tribute-to-stone-temple-piolits', 'PLUSH  A TRIBUTE TO STONE TEMPLE PIOLITS']","['117892', 'plush-a-tribute-to-stone-temple-pilots', 'Plush - A Tribute to Stone Temple Pilots']"
"['113752', 'paa-kow-s-by-all-menas-band', ""Paa Kow's By All Menas Band""]","['113751', 'paa-kow-s-by-all-means-band', ""Paa Kow's By All Means Band""]"
"['113902', 'paige-allbritton', 'Paige Allbritton']","['113901', 'paige-albritton', 'Paige Albritton']"
"['114012', 'palle-mikkelborg', 'Palle Mikkelborg']","['114011', 'palle-mikkeborg', 'Palle Mikkeborg']"
"['114189', 'panteros666', 'Panteros666']","['113343', 'panteros-666', 'PANTEROS 666']"
"['114196', 'panther-campe', 'Panther Campe']","['114195', 'panther-camp', 'Panther Camp']"
"['11422', 'augie-myers', 'Augie Myers']","['11421', 'augie-meyers', 'Augie Meyers']"
"['114236', 'paolo-sappia', 'Paolo Sappia']","['114235', 'paolo-sapia', 'Paolo Sapia']"
"['114356', 'paquito-drivera', 'Paquito D\xe2\x80\x99Rivera']","['114355', 'paquito-d-rivera', ""Paquito D'Rivera""]"
"['114463', 'parasitic-ejeculation', 'Parasitic Ejeculation']","['114462', 'parasitic-ejaculation', 'Parasitic Ejaculation']"
"['114532', 'parker-milsap', 'Parker Milsap']","['114531', 'parker-millsap', 'Parker Millsap']"
"['114588', 'parsonsfield', 'Parsonsfield']","['114587', 'parsonfield', 'Parsonfield']"
"['114763', 'passive-agression', 'Passive Agression']","['114762', 'passive-aggression', 'Passive Aggression']"
"['114801', 'pat-benatar-neil-giraldo', 'Pat Benatar Neil Giraldo']","['114800', 'pat-benatar-neil-geraldo', 'Pat Benatar & Neil Geraldo']"
"['114820', 'pat-farrell', 'Pat Farrell']","['114819', 'pat-farell', 'Pat Farell']"
"['114839', 'pat-llewwllyn-the-parade', 'Pat Llewwllyn & the Parade']","['114838', 'pat-llewllyn-the-parade', 'Pat Llewllyn & the Parade']"
"['114878', 'pat-stone-the-dirty-booty', 'Pat Stone & The Dirty Booty']","['114879', 'pat-stone-the-dirty-boots', 'Pat Stone & the Dirty Boots']"
"['115162', 'paul-barrere-fred-tackett-of-little-feat', 'Paul Barrere & Fred Tackett of Little Feat']","['115161', 'paul-barrere-fred-tackett-from-little-feat', 'Paul Barrere & Fred Tackett from Little Feat']"
"['115268', 'paul-hanson-bassoon-saxophones', 'Paul Hanson - bassoon & saxophones']","['115265', 'paul-hanson-bassoon-saxophone', 'Paul Hanson - Bassoon & Saxophone']"
"['115520', 'pavel-kolsnikov-piano', 'Pavel Kolsnikov, piano']","['115519', 'pavel-kolesnikov-piano', 'Pavel Kolesnikov, piano']"
"['115809', 'penniless-cove', 'Penniless Cove']","['115808', 'penniles-cove', 'Penniles Cove']"
"['115839', 'pentatronix', 'Pentatronix']","['115838', 'pentatonix', 'Pentatonix']"
"['115873', 'people-s-champs', ""People's Champs""]","['115872', 'people-s-champ', ""People's Champ""]"
"['115923', 'perceives-persist', 'Perceives/Persist']","['115922', 'perceive-persist', 'Perceive/persist']"
"['115959', 'perfect-stranger', 'Perfect Stranger']","['115958', 'perfect-stanger', 'Perfect Stanger']"
"['115969', 'performing-prince-s-dirty-mind', ""Performing Prince's Dirty Mind""]","['115968', 'performing-prince-dirty-mind', 'Performing Prince Dirty Mind']"
"['116069', 'persons-places-things', 'Persons/Places/Things']","['116068', 'persons-paces-things', 'Persons/Paces/Things']"
"['116081', 'perturbator', 'Perturbator']","['116080', 'pertubator', 'Pertubator']"
"['116233', 'peter-brutnell', 'Peter Brutnell']","['116232', 'peter-bruntnell', 'Peter Bruntnell']"
"['116325', 'peter-pan-speedrock', 'Peter Pan Speedrock']","['176992', 'peter-pan-speed-rock', 'peter pan speed rock']"
"['116373', 'peter-von-troy', 'Peter Von Troy']","['116372', 'peter-von-toy', 'Peter Von Toy']"
"['116383', 'peter-and-the-testtube-babies', 'Peter and the Testtube Babies']","['116382', 'peter-and-the-test-tube-babies', 'Peter and the Test Tube Babies']"
"['116454', 'pettybreakers-a-tribute-to-tom-petty-the-heartbreakers', 'PettyBreakers-A Tribute to Tom Petty & The Heartbreakers']","['116453', 'pettybreakers-a-tribute-to-tom-petty-heartbreakers', 'PettyBreakers-A Tribute To Tom Petty & HeartBreakers']"
"['116471', 'peveneverett', 'PevenEverett']","['116470', 'peven-everett', 'Peven Everett']"
"['116605', 'phenomenal1', 'Phenomenal1']","['116604', 'phenomenal-1', 'Phenomenal 1']"
"['116706', 'phil-odonnell', 'Phil O\xe2\x80\x99Donnell']","['116705', 'phil-o-donnell', ""Phil O'Donnell""]"
"['116812', 'philippe-bussonnet', 'Philippe Bussonnet']","['116811', 'philippe-bussonet', 'Philippe Bussonet']"
"['116910', 'phoebe-bridges', 'Phoebe Bridges']","['116909', 'phoebe-bridgers', 'Phoebe Bridgers']"
"['116964', 'phosphore-elephants', 'Phosphore Elephants']","['116963', 'phosphor-elephants', 'Phosphor Elephants']"
"['116966', 'phosphorescent', 'Phosphorescent']","['116965', 'phosphorecent', 'Phosphorecent']"
"['117036', 'pianolectro', 'Pianolectro']","['117035', 'pianoelectro', 'Pianoelectro']"
"['117039', 'pianos-become-the-teeth', 'Pianos Become the Teeth']","['117038', 'pianos-become-the-teeeth', 'Pianos Become the Teeeth']"
"['117080', 'picture-perfect-skylines', 'Picture Perfect Skylines']","['117079', 'picture-perfect-skyline', 'Picture Perfect Skyline']"
"['117122', 'piergiorgio-marchesini-batterie', 'Piergiorgio Marchesini, batterie']","['117121', 'piergiorgio-marchesini-batteria', 'Piergiorgio Marchesini Batteria']"
"['117126', 'piero-delgaudio', 'Piero DelGaudio']","['117125', 'piero-del-gaudio', 'Piero Del Gaudio']"
"['117311', 'piney-woodsplayers', 'Piney WoodsPlayers']","['117310', 'piney-woods-players', 'Piney Woods Players']"
"['11769', 'avengend-sevenfold', 'Avengend Sevenfold']","['11768', 'avenged-sevenfold', 'Avenged Sevenfold']"
"['117759', 'play-club-djs', 'Play Club Djs']","['117758', 'play-club-dj', 'Play Club Dj']"
"['117786', 'playing-dead', 'Playing Dead']","['117785', 'playin-dead', ""Playin' Dead""]"
"['117843', 'plebian-grandstand', 'Plebian Grandstand']","['117842', 'plebeian-grandstand', 'Plebeian Grandstand']"
"['11794', 'aversions-crown', 'Aversions Crown']","['11793', 'aversion-s-crown', ""Aversion's Crown""]"
"['118175', 'pongos-groove', 'Pongo\xe2\x80\x99s Groove ']","['118174', 'pongo-s-groove', ""Pongo's Groove""]"
"['11825', 'avid-dancers', 'Avid Dancers']","['11824', 'avid-dancer', 'Avid Dancer']"
"['118288', 'popes-of-chilltown', 'Popes Of Chilltown']","['118289', 'popes-of-chillitown', 'Popes of Chillitown']"
"['118289', 'popes-of-chillitown', 'Popes of Chillitown']","['118287', 'popes-of-chilitown', 'Popes Of Chilitown']"
"['118315', 'popscene-djs', 'Popscene DJs']","['118314', 'popscene-dj-s', ""Popscene DJ's""]"
"['118437', 'positive-vibr8tions', 'Positive Vibr8tions']","['118436', 'positive-vibr8ions', 'Positive Vibr8ions']"
"['118446', 'possessed-by-paul-james', 'Possessed by Paul James']","['118445', 'possessed-by-paul-jame', 'Possessed by Paul Jame']"
"['118535', 'pottymouth', 'Pottymouth']","['118534', 'potty-mouth', 'Potty Mouth']"
"['118543', 'pour-habit', 'Pour Habit']","['118542', 'pour-habbit', 'Pour Habbit']"
"['118689', 'predator-dub-assassins', 'Predator Dub Assassins']","['118688', 'predator-dub-assasins', 'Predator Dub Assasins']"
"['118741', 'presidents-of-the-unted-states-of-america', 'Presidents of the Unted States of America']","['118740', 'presidents-of-the-united-sates-of-america', 'Presidents Of The United Sates Of America']"
