TYPE : TSP
DIMENSION : 744
EDGE_WEIGHT_TYPE : GEO
NODE_COORD_SECTION
529 39.2278 -84.3247
530 37.9804 -87.5829
531 39.1677 -86.5341
532 39.1149 -84.4376
533 39.2278 -84.3247
534 39.3276 -82.1023
535 39.2278 -84.3247
536 39.1149 -84.4376
537 39.2278 -84.3247
538 39.9848 -83.0376
539 39.1149 -84.4376
540 39.2278 -84.3247
541 39.1149 -84.4376
542 41.5715 -81.5704
543 39.1149 -84.4376
544 39.7589 -84.1917
545 38.0199 -84.4667
546 38.2531 -85.6572
547 39.1149 -84.4376
548 40.4538 -80.0014
549 39.6576 -78.9285
550 40.2016 -77.1906
551 40.6679 -76.1884
552 39.1149 -84.4376
553 39.7789 -84.055
554 39.2278 -84.3247
555 39.1149 -84.4376
556 39.3 -81.9072
557 39.3 -81.9072
558 39.3 -81.9072
559 39.1149 -84.4376
560 39.1398 -84.5131
561 39.1945 -84.4008
562 39.1677 -86.5341
563 39.1149 -84.4376
564 40.2386 -85.3678
565 40.6281 -75.8532
566 39.1149 -84.4376
567 41.3191 -81.0358
568 39.1149 -84.4376
569 39.6297 -79.9582
570 39.6272 -79.9614
571 40.4693 -79.9616
572 41.0637 -80.056
573 40.1923 -85.3867
574 39.2771 -84.114
575 40.3373 -77.5006
576 39.1149 -84.4376
577 39.2278 -84.3247
578 39.1149 -84.4376
579 39.7589 -84.1917
580 38.0199 -84.4667
581 39.1397 -84.7084
582 39.1149 -84.4376
583 38.5776 -82.3963
584 38.5776 -82.3963
585 39.1149 -84.4376
586 39.1398 -84.5131
587 39.3276 -82.1023
588 39.1149 -84.4376
589 39.4872 -79.5326
590 39.4872 -79.5326
591 39.4872 -79.5326
592 39.1149 -84.4376
593 39.1007 -84.4322
594 39.1149 -84.4376
595 37.7439 -84.9843
596 38.4077 -78.7376
597 39.1398 -84.5131
598 39.3206 -86.9059
599 39.9383 -82.4084
600 39.9383 -82.4084
601 39.9383 -82.4084
602 39.9383 -82.4084
603 38.2458 -85.7323
604 39.8053 -86.1679
605 41.5715 -81.5704
606 38.4077 -78.7376
607 39.1398 -84.5131
608 39.9383 -82.4084
609 39.9383 -82.4084
610 39.9383 -82.4084
611 39.1149 -84.4376
612 37.7438 -84.9844
613 37.7438 -84.9844
614 41.2158 -87.9911
615 39.1149 -84.4376
616 39.7589 -84.1917
617 38.0412 -84.5123
618 39.1149 -84.4376
619 39.1149 -84.4376
620 39.5896 -84.7848
621 39.5896 -84.7848
622 39.1149 -84.4376
623 37.9804 -87.5829
624 38.2458 -85.7323
625 39.8053 -86.1679
626 39.1149 -84.4376
627 39.5551 -82.3882
628 39.5551 -82.3882
629 39.1149 -84.4376
630 39.6297 -79.9582
631 39.9848 -83.0376
632 38.3484 -81.6368
633 40.4693 -79.9616
634 39.1149 -84.4376
635 39.3276 -82.1022
636 39.1149 -84.4376
637 39.1007 -84.4322
638 38.0412 -84.5123
639 39.1149 -84.4376
640 39.1682 -86.5332
641 39.9848 -83.0376
642 41.5715 -81.5704
643 39.1149 -84.4376
644 35.138 -90.0158
645 39.1149 -84.4376
646 39.1149 -84.4376
647 39.7789 -84.055
648 39.2278 -84.3247
649 39.1149 -84.4376
650 39.083 -84.5098
651 39.1149 -84.4376
652 39.8053 -86.1679
653 39.1149 -84.4376
654 38.2512 -85.7238
655 39.7589 -84.1917
656 39.1149 -84.4376
657 39.1149 -84.4376
658 41.5039 -81.6537
659 35.1169 -89.9459
660 39.1149 -84.4376
661 38.3484 -81.6368
662 39.1149 -84.4376
663 39.3276 -82.1022
664 39.0935 -84.4961
665 39.1149 -84.4376
666 41.6591 -83.5275
667 38.2458 -85.7323
668 39.1149 -84.4376
669 39.1149 -84.4376
670 39.6297 -79.9582
671 39.3344 -82.9834
672 38.0412 -84.5123
673 37.9804 -87.5829
674 39.1149 -84.4376
675 41.5715 -81.5704
676 40.0146 -83.0003
677 40.4288 -79.9826
678 39.1149 -84.4376
679 39.1149 -84.4376
680 39.1678 -86.5334
681 41.9265 -87.6488
682 40.4833 -88.9945
683 37.7155 -97.2987
684 40.5883 -105.077
685 39.7368 -104.983
686 39.7368 -104.983
687 37.7155 -97.2987
688 35.1169 -89.9459
689 39.1149 -84.4376
690 41.1538 -81.3566
691 40.8647 -75.7419
692 39.1149 -84.4376
693 38.2508 -85.7221
694 39.1398 -84.5131
695 39.1149 -84.4376
696 38.4174 -82.4457
697 39.3 -81.9072
698 39.1149 -84.4376
699 39.1149 -84.4376
700 37.7439 -84.9843
701 39.1149 -84.4376
702 39.1149 -84.4376
703 41.6476 -83.5225
704 39.1149 -84.4376
705 39.1149 -84.4376
706 39.1398 -84.5131
707 39.1149 -84.4376
708 35.1169 -89.9459
709 39.1149 -84.4376
710 39.8053 -86.1679
711 38.0406 -84.4788
712 38.2459 -85.7333
713 39.9383 -82.4084
714 39.9383 -82.4084
715 39.1149 -84.4376
716 39.2708 -86.2494
717 39.2708 -86.2494
718 39.2708 -86.2494
719 39.2278 -84.3247
720 39.1623 -86.1503
721 41.3191 -81.0358
722 39.1149 -84.4376
723 39.1149 -84.4376
724 39.5374 -82.1459
725 37.7439 -84.9843
726 41.3191 -81.0358
727 41.3191 -81.0358
728 41.6476 -83.5225
729 39.1398 -84.5131
730 39.1149 -84.4376
731 39.3276 -82.1022
732 39.1149 -84.4376
733 39.2278 -84.3247
734 41.3191 -81.0358
735 39.1149 -84.4376
736 41.2411 -76.7242
737 40.3292 -78.9239
738 39.1149 -84.4376
739 38.2508 -85.7221
740 40.0659 -84.1591
741 39.1149 -84.4376
742 43.3129 -90.8475
743 43.3129 -90.8475
EOF
