 Somme des distances parcourues par les 54715 artistes pris en compte : 3914895177.67,,,,
 , nom de l'artiste , km parcourus , ,
,nom,km,,
 , BEN UFO ,806663.751824, ,
 , Saturday ,804710.656495, ,
 , Tegan and Sara ,804357.498878, ,
 , Helena Legend ,803719.138784, ,
 , Jake Shimabukuro ,803474.406994, ,
 , Kryder ,803423.441535, ,
 , Chris Smither ,802114.005559, ,
 , Celtic Woman ,801444.653122, ,
 , The Acacia Strain ,801180.908499, ,
 , Anti-Flag ,800664.02955, ,
 , Cold War Kids ,799652.877114, ,
 , Loadstar ,799484.108195, ,
 , Stephan Bodzin ,798445.756255, ,
 , The Flatliners ,797743.242206, ,
 , TOKiMONSTA ,796877.619357, ,
 , Eats Everything ,796848.307859, ,
 , The Kings ,796427.257006, ,
 , Bad Boy Bill ,796149.880406, ,
 , Memphis May Fire ,796042.536064, ,
 , Colette ,795764.139133, ,
 , Four Year Strong ,794860.840607, ,
 , Ana Popovic ,793225.222649, ,
 , The Drifters ,792930.814728, ,
 , TJR ,791930.92217, ,
 , The Dillinger Escape Plan ,791831.089153, ,
 , Carmina Burana ,791403.950377, ,
 , Flogging Molly ,790999.083276, ,
 , Duke Dumont ,790472.700457, ,
 , Darude ,790251.988117, ,
 , 12th Planet ,788242.458962, ,
 , BEHEMOTH ,787633.987572, ,
 , Alt-J ,787425.389978, ,
 , Atmosphere ,787276.818648, ,
 , Orleans Avenue ,786867.411659, ,
 , Ben Gold ,785379.462046, ,
 , Manufactured Superstars ,784711.082818, ,
 , Dieselboy ,784321.460805, ,
 , Chris Young ,784149.915618, ,
 , Harry Manx ,784075.44154, ,
 , DJ Juicy M ,783522.454217, ,
 , Band of Horses ,783504.042216, ,
 , Angélique Kidjo ,783296.09604, ,
 , Fansintown ,783062.297512, ,
 , Disney on Ice ,780223.815529, ,
 , Ben Klock ,779702.178373, ,
 , Donald Glaude ,779449.715619, ,
 , Queensrÿche ,779398.05706, ,
 , Guy J ,777885.116276, ,
 , Rebirth Brass Band ,776797.638521, ,
 , James Taylor ,776712.676623, ,
 , Riva Starr ,776491.458022, ,
 , Dan Deacon ,776328.53634, ,
 , Dixon ,775670.043251, ,
 , Kurt Vile ,775667.127932, ,
 , Biffy Clyro ,775129.386103, ,
 , The Manhattan Transfer ,775108.585322, ,
 , Method Man ,774923.804307, ,
 , The Roots ,774337.88582, ,
 , Tower of Power ,772393.770763, ,
 , Axwell ,771767.218088, ,
 , Judge Jules ,771198.398681, ,
 , Mike Stern ,770978.779176, ,
 , Caspa ,770697.639465, ,
