 nom,km,pos
 Who's Bad ,758560.595835,528
 The Reverend Peyton's Big Damn Band ,757711.918592,529
 Children of Bodom ,757068.744588,530
 Behrouz ,756345.04076,531
 GiantSteps ,756082.31327,532
 Tony Bennett ,754909.066876,533
 DJ Bl3nd ,754881.883758,534
 Mi Ke ,754680.791214,535
 Dave Koz ,754558.480105,536
 John Legend ,754492.484367,537
 Exodus ,754331.82631,538
 Riverdance ,753240.66649,539
 Peaches ,753225.248679,540
 Hells Belles ,752565.82223,541
 Guilty Pleasures ,752290.091026,542
 Hercules and Love Affair ,750899.540316,543
 Lady Antebellum ,750371.70752,544
 Eddie Money ,749726.772216,545
 Ozomatli ,749498.145864,546
 Andy ,749323.331218,547
 Veil of Maya ,748818.408357,548
 Dyro ,748388.608673,549
 Nas ,748005.745344,550
 and MORE! ,747769.260814,551
 Agent Orange ,747153.271477,552
 Sound ,746771.059714,553
 Mannheim Steamroller ,746602.768526,554
 Mumford and Sons ,746587.027239,555
 Nora En Pure ,745485.328284,556
 Jason Derulo ,744805.299374,557
 The Audiofly really really real official fanpage ,744553.412248,558
 Rodrigo y Gabriela ,743468.567328,559
 The Fab Four ,743229.261325,560
 Mano Le Tough ,741089.737435,561
 Maroon 5 ,740902.391766,562
 Cabaret ,740816.055667,563
 Solo ,740649.550767,564
 We Came as Romans ,740500.97072,565
 Midland ,740260.841874,566
 OneRepublic ,740083.301178,567
 Johnny ,739987.401683,568
 Noisia ,739307.662296,569
 Klingande ,739210.028143,570
 Lee Curtiss ,739190.329655,571
 Solomun (Official) ,738911.631342,572
 Toro Y Moi ,738653.501867,573
 G. Love & Special Sauce ,738603.046218,574
 Dr. John ,738448.657645,575
 The Skatalites ,737541.613568,576
 Engelbert Humperdinck ,737451.390084,577
 Keys N Krates ,737332.428895,578
 WAR ,737026.020133,579
 Jason ,736635.923583,580
 Raul Midon ,735011.593109,581
30,734176.138266,582
 Big Bad Voodoo Daddy ,733978.503319,583
 Ryan Crosson ,733495.057534,584
 Sum 41 ,733269.257431,585
 Strung Out ,732939.483563,586
 Red Fang ,732538.501843,587
 Kurt Elling ,731660.051892,588
 Leeland ,731639.969924,589
 Shaun Reeves ,730723.125881,590
 Black ,730663.941803,591
 The Machine ,729742.404523,592
 James Morrison ,729600.816457,593
 Krewella ,729574.649985,594
 Andy McKee ,729366.989286,595
 Avenged Sevenfold ,729233.005975,596
 We the Kings ,729102.848984,597
 Cut Copy ,728876.789198,598
 Chocolate Puma ,728533.955908,599
 Fire ,728271.526935,600
 Halestorm ,727513.244875,601
 Victor Calderone ,727271.304057,602
 Taj Mahal ,727170.997811,603
 The Killers ,726858.724268,604
 Subb-an ,726741.941664,605
 ABBA Mania ,725673.897177,606
 The National ,725611.624825,607
 The Red Jumpsuit Apparatus ,725374.568228,608
 Marco V ,725055.555725,609
 Jimmy Eat World ,724625.852312,610
 Otto Knows ,724372.847842,611
 Popa Chubby ,724340.181047,612
 Coolio ,724019.693672,613
 Train ,724007.740612,614
 Preservation Hall Jazz Band ,723544.435773,615
 The Aggrolites ,723491.97499,616
 Keller Williams ,723272.570246,617
 The Bronx ,722915.399753,618
 Ed Sheeran ,722792.44042,619
 !!! ,721809.516364,620
 Ellis Paul ,721666.551051,621
 David Morales ,721307.350496,622
 Killswitch Engage ,720517.547026,623
 Jackmaster ,720512.868133,624
 Phoenix ,720460.146049,625
 Madeon ,720341.30379,626
 Little Big Town ,719048.692162,627
 Béla Fleck ,718714.594431,628
 Art ,718615.266418,629
 Dionne Warwick ,717385.461912,630
 André Rieu ,714973.413086,631
 Dierks Bentley ,714673.069282,632
 Seether ,714274.811041,633
 Martin ,713888.644499,634
 Sigma ,713044.229568,635
 b2b ,712524.09948,636
 Supersuckers ,712392.46045,637
 The Soul Rebels ,712387.171817,638
 The Flaming Lips ,712205.424266,639
 Travis Tritt ,712202.74413,640
 Hawk Nelson ,712194.148776,641
 Simple Plan ,712010.508608,642
 Sven Väth ,712008.543224,643
 Wilkinson ,710994.854201,644
 Jonny Lang ,709887.535102,645
 Wolfgang Gartner ,709794.347531,646
 Building 429 ,709445.157954,647
 Beach House ,709375.923502,648
 Dropkick Murphys ,708139.897734,649
 Tesla ,707761.677788,650
 Downlink ,707691.483964,651
 Kataklysm ,707596.776542,652
 Keith Sweat ,707264.646619,653
 Gregory Porter ,707218.545797,654
 MercyMe ,705792.305024,655
 doctor P ,705450.43026,656
 Gretchen Peters ,705355.90626,657
 Camea ,705279.670762,658
 Born of Osiris ,705213.628508,659
 Closed For Private Event ,704560.425063,660
 Rick Springfield ,703700.403355,661
 Yellow Claw ,703455.96408,662
 Chali 2na ,703092.702351,663
 Galactic ,702578.887223,664
 Epica ,702400.798651,665
 Tech N9ne ,702254.560223,666
 Black Stone Cherry ,702250.322769,667
 Pretty Lights ,702243.307531,668
 Lionel Loueke ,702022.47322,669
 Gin Blossoms ,701632.916071,670
 Macy Gray ,700151.871372,671
 Silversun Pickups ,700001.836514,672
 Fashen ,699810.640306,673
 Ben ,699512.296348,674
 The Brew ,699410.751369,675
 Horse Meat Disco ,699388.80116,676
 The Rat Pack ,699216.283428,677
 DJ Fresh ,698912.826056,678
 Romeo & Juliet ,698368.338258,679
 B.O.B ,697496.620737,680
 Joe Pug ,697153.865999,681
 BT ,696905.278049,682
 Concerts ,696681.326288,683
 Claude-Michel Schönberg ,695592.809049,684
 Bliss ,694159.939216,685
 Pennywise ,693763.16744,686
 The Sword ,693633.612339,687
 LOCASH ,693436.607427,688
 Slayer ,693205.560124,689
 Shinedown ,693179.784436,690
 Andrew Bird ,693145.06901,691
 Joe Lovano ,692325.870444,692
 Fishbone ,692233.903525,693
 2 Many DJ's ,691919.073339,694
 Herbie Hancock ,691611.467809,695
 Mogwai ,691595.261064,696
 Trace Adkins ,691568.535506,697
 John Pizzarelli ,691322.193521,698
 destructo ,691042.871868,699
 Andrea Bocelli ,690969.098808,700
 Volbeat ,690826.268155,701
 Asleep at the Wheel ,690276.828278,702
 Peter ,690180.818815,703
 Pepper ,690119.729135,704
 Lacuna Coil ,690096.197123,705
 Kaki King ,689390.612573,706
 Black Sun Empire ,689148.359673,707
 UZ ,689011.83107,708
 Mastodon ,688905.999266,709
 Robben Ford ,688726.646466,710
 Bettye LaVette ,688688.856628,711
 Warpaint ,687978.62651,712
 The Marshall Tucker Band ,687972.331066,713
 Francesca Lombardo ,686503.577745,714
 Gary Allan ,686289.477174,715
 Deez Nuts ,686037.10495,716
 The Australian Pink Floyd Show ,685931.594519,717
 Airbourne ,685590.200184,718
 Three Dog Night ,685478.744392,719
 Sick of It All ,685182.319599,720
 Maze ,684630.739453,721
 Eddie Halliwell ,684020.111813,722
 The 1975 ,683411.411201,723
 Zach Deputy ,683263.196624,724
 Kendrick Lamar ,683156.643059,725
 Marc Houle ,682848.720121,726
 Wilco ,682527.154769,727
 Kid Ink ,682185.474959,728
 Dam-Funk ,681856.267687,729
 A Wilhelm Scream ,681562.333378,730
 JOE ,680457.894736,731
 Lange ,680289.659904,732
 Shemekia Copeland ,679546.855364,733
 3LAU ,677995.967574,734
 Tenishia ,677717.650376,735
 Molly ,677568.810505,736
 Figure ,677277.393813,737
 Slash ,676539.551867,738
 REggaE ,676118.02186,739
 the magician ,676058.340826,740
 Herman's Hermits Starring Peter Noone ,675649.797056,741
 The Four Seasons ,675545.00313,742
 L.E.O. ,675377.782989,743
 Deep Purple ,674207.294684,744
 James Hunter ,673890.786529,745
 Silent Disco ,673829.687937,746
 Fatboy Slim ,673783.662805,747
 Moon ,673559.891875,748
 MONO (Japan) ,673528.175585,749
 Ashley Wallbridge ,672795.109994,750
 From The Jam ,672788.34396,751
 Phil Vassar ,672375.240184,752
 Thousand Foot Krutch ,671986.922271,753
 Kaytranada ,671067.214804,754
 David Sanborn ,671005.018768,755
 Amanda Palmer ,670948.59559,756
 Jack ,670885.335331,757
 The Dirty Dozen Brass Band ,670172.625834,758
 Wolfmother ,670107.575525,759
 Grace Potter ,669853.969469,760
 Robag Wruhme ,669845.4624,761
 Kenny G ,669582.295158,762
 Amon Amarth ,669209.578475,763
 Nick Curly (official) ,667624.060698,764
 Langhorne Slim ,666815.988768,765
 Blackberry Smoke ,666792.125142,766
 Sonny Fodera ,666425.377284,767
 Brandi Carlile ,666337.895203,768
 Best Coast ,666259.606869,769
 Dawes ,666210.156329,770
 Kutless ,666051.468926,771
 Dan ,665875.139759,772
 H2O ,665318.191347,773
 Chelsea Grin ,664531.682089,774
 Dave Clarke (Official) ,664134.711081,775
 Brad Paisley ,664132.554388,776
 The Casualties ,663364.206775,777
 SHIBA SAN ,662085.495393,778
 Frightened Rabbit ,661923.702825,779
 Rick Ross ,661875.874318,780
 Steve Hill ,661032.881891,781
 Michael Bolton ,659847.679313,782
 Grum ,659817.614102,783
 Dying Fetus ,659387.859614,784
 Omar ,658889.536394,785
 Coldplay ,658752.946193,786
 Kevin Devine ,658542.234191,787
 Rod Stewart ,657895.854522,788
 DJ Pierre ,657517.347772,789
 The Amity Affliction ,657398.129384,790
 Protoculture ,657282.898422,791
 Paul Ritch ,657138.882881,792
 Cypress Hill ,657130.295999,793
 Z-Trip ,657121.462252,794
 Todd Terry ,657076.529898,795
