 nom,km,pos
 JUST LIKE P!NK ,1416.857985,44424
 Bleeding in Stereo ,1416.703914,44425
 eL.I.Be ,1416.689411,44426
 Steve Cradock ,1416.336002,44427
 Frankly Benjamin ,1416.322954,44428
 MabrOoK ,1416.230365,44429
 Steve Ellis_ Original Voice of Love Affair ,1415.357642,44430
 Todd Barrow ,1415.301655,44431
 MFUSCO ,1415.213339,44432
 Dead trash bin ,1415.083215,44433
 Khaya ,1414.924712,44434
 Super Parquet ,1414.710875,44435
 Laura and Risky Business ,1414.181141,44436
 Del Water Gap ,1414.095856,44437
 Lindsey Wilson ,1413.17166,44438
 The Michael Louis Band ,1413.020019,44439
 Erik Swartz ,1412.985079,44440
 Climax ,1412.762308,44441
 Thousand Horses ,1412.723567,44442
 MALONDA ,1412.71406,44443
 DIVA FAUNE ,1412.609693,44444
 SOUL VISTAS ,1412.590341,44445
 Sister Antics ,1412.513596,44446
 Didier Ithursarry ,1412.286697,44447
 little Barefoot ,1411.939753,44448
 Kasra V ,1411.694082,44449
 Dirge ,1411.586011,44450
 Sylvain Romano - Bass ,1410.637524,44451
 Conch Republic ,1410.352658,44452
 The Getup ,1410.018019,44453
 Lincoln Saltdogs ,1409.982328,44454
 Corey Lewin Music ,1409.604375,44455
 Jonathan Cody White ,1409.051354,44456
 AURELIE CABREL ,1408.348648,44457
 Henry Turner Jr and Flavor ,1407.546936,44458
 Gotham Rockets ,1407.349509,44459
 Steve Gillespie ,1407.16003,44460
 The Cody Sisters  ,1407.053521,44461
 Bencoolen ,1406.973014,44462
 Nicolas VICCARO ,1406.860412,44463
 Dr. Joe  ,1406.649459,44464
 Mercy Blow ,1406.59636,44465
 the Rocket 88s ,1406.539024,44466
 Crossfire Country Rock Band ,1406.071674,44467
 Lucy Wainwright Roche ,1405.776196,44468
 Avenue Beat ,1405.52478,44469
 Plasma Canvas ,1405.161818,44470
 Unturned ,1405.126691,44471
 Isabelle Olivier ,1404.98473,44472
 The Mighty Souls Brass Band ,1404.403936,44473
 ALL WILL KNOW ,1403.638666,44474
 Blot Out ,1403.193866,44475
 The Solid Ocean ,1403.103517,44476
 Les Boukans ,1402.128604,44477
 Sonia Tetlow ,1401.694797,44478
 AM Taxi ,1401.690414,44479
 DONE DYING ,1400.575586,44480
 8 Track Massacre ,1400.164166,44481
 The Solarists ,1399.892286,44482
 Captain Gone ,1399.024493,44483
 Exit Plan ,1398.762949,44484
 Harrison Musik ,1398.495728,44485
 Stimmen der Berge ,1398.312221,44486
 Liberty Ship ,1397.944299,44487
 Life As A Ghost ,1397.143757,44488
 Making Monsters ,1397.103006,44489
 Noa Vlessing ,1396.975365,44490
 Atlin ,1396.311821,44491
 Scared To Dance ,1396.232651,44492
 Markoolio ,1396.209705,44493
 Union Grove ,1396.072536,44494
 FO&O ,1395.677866,44495
 ÜBERMENSCH (Rammstein Tribute Band) ,1395.637293,44496
 Alexander f ,1395.324497,44497
 Party After Paradise ,1395.264806,44498
 Panthermilk ,1395.152534,44499
 Joshua CS ,1395.126822,44500
 Captain Black Big Band ,1394.539032,44501
 Familie Lässig ,1393.994231,44502
 LE BAL ,1393.758888,44503
 Neil Arthur ,1393.554198,44504
 Bohemians ,1392.773168,44505
 Natalie Schlabs ,1392.707956,44506
 Faith Ako ,1392.268369,44507
 stilbruch ,1390.044914,44508
 Heart Harbor ,1390.031674,44509
 Cosmic Trigger ,1389.648154,44510
 Grit and Gold ,1389.396511,44511
 Life On Mars: A Tribute To David Bowie ,1389.0176,44512
 P O P F I L T E R ,1388.885643,44513
 Feuerwehrmann Sam ,1388.803601,44514
 Andrew Wynne ,1388.725727,44515
 Belle Mare ,1388.282822,44516
 AudioFeels ,1388.109615,44517
 Makoor ,1387.817539,44518
 Fuzzy Logic ,1387.735437,44519
 Me In A Million ,1387.266805,44520
 Yächtley Crëw ,1386.660967,44521
 One More From the Road ,1386.613235,44522
 Assaggio ,1386.529805,44523
 Dossa ,1386.396574,44524
 Borrowed Time: A Tribute to the Music of STYX ,1386.389335,44525
 Hideouts ,1384.970738,44526
 Jeff Bostic ,1384.756197,44527
 Ron Shumate ,1383.75517,44528
 No Reason ,1383.639085,44529
 The John Dawson Band ,1383.53568,44530
 Bad Solution ,1383.058813,44531
 Fake The Attack ,1382.587918,44532
 Harry Sokal ,1382.307049,44533
 Bab Assalam ,1381.766598,44534
 Locuzzed ,1381.712183,44535
 Trea Landon ,1381.504875,44536
 Pinwheel ,1381.081152,44537
 Jurassik ,1381.056315,44538
 Elle Watson ,1380.680679,44539
 Black Jack Billy ,1380.406221,44540
 Jess Morgan and Dan Whitehouse ,1379.903707,44541
 The Shougashack ,1379.245312,44542
 The Hello Strangers ,1379.209427,44543
 Movies About Animals ,1379.068235,44544
 The Tennessee Mass Choir ,1378.551996,44545
 Katie Perkins ,1378.161206,44546
 Jacob Darrow Music ,1378.108327,44547
 Science Of Sleep ,1378.036369,44548
 Ohad Naharin ,1377.934099,44549
 Anna Mylee ,1377.899384,44550
 We Should Have Been DJs ,1377.740212,44551
 Gérald Genty ,1377.089813,44552
 DJ Lexx ,1376.106781,44553
 Paul Chowdhry ,1375.712547,44554
 Paldauer ,1375.397289,44555
 DJ Format & Abdominal ,1374.021186,44556
 SVETLUX ,1373.994453,44557
 Sundries ,1373.84942,44558
 Disclose ,1373.237318,44559
 NBB ,1372.627901,44560
 Adesta ,1372.436247,44561
 Stands ,1372.129525,44562
 The Custom Shop ,1371.807588,44563
 Birmingham Barons ,1371.696168,44564
 God's America ,1371.669417,44565
 Jess Vincent ,1370.593027,44566
 John de Sohn ,1370.32868,44567
 Tallahassee Nights Live! ,1370.312341,44568
 Simona Molinari ,1370.218167,44569
 Hydrogen Child ,1370.003949,44570
 Ego Satellites ,1369.923177,44571
 Death by Horse ,1369.5241,44572
 Jassen Petrov ,1369.495576,44573
 Eternals ,1368.037583,44574
 Death of the Cool ,1367.931753,44575
 Something Is Waiting ,1367.746382,44576
 Lawless ,1367.720914,44577
 Fall of the Albatross ,1367.274794,44578
 Wirth ,1366.648441,44579
 AVANTIST ,1365.985514,44580
 Miles Hunt and Erica Nockalls ,1365.345931,44581
 Mondo Vibrations ,1365.207622,44582
 Nick D & the Believers ,1365.12454,44583
 Razor Doves ,1364.96701,44584
 Scott Slay ,1364.857536,44585
 Alarm Drum ,1364.810898,44586
 The Wet Darlings ,1364.417717,44587
 Awkwafiina ,1363.880005,44588
 b2b Matthias Meyer ,1362.962477,44589
 Sarah Solovay ,1362.325224,44590
 Airlooms ,1362.226829,44591
 The King Is Blind ,1361.892815,44592
 Lucky City ,1361.40101,44593
 The Echolarks ,1360.650431,44594
 Buckman Coe ,1360.444061,44595
 The Candle Thieves ,1360.312228,44596
 It's Not Night ,1360.278366,44597
 Shape Pitaki ,1360.17295,44598
 Momentous ,1360.060054,44599
 San Quentin ,1359.97876,44600
 The Other Black ,1359.838722,44601
 Gem and Eye ,1359.781248,44602
 The Old Folks ,1359.361507,44603
 The Dirty River Dixie Band ,1359.293379,44604
 Exquisite Ending ,1358.966317,44605
 Sup3rsayin ,1358.872234,44606
 Goodbye Fairground ,1357.931328,44607
 Quintessential Octopus ,1357.652241,44608
 Blacktop Syndicate ,1356.991032,44609
 Silver Torches (Solo) ,1356.852664,44610
 Slaughterhouse Brothers ,1356.791002,44611
 The Thirsty River ,1356.723852,44612
 Brassick ,1356.696241,44613
 Krewe de Groove ,1356.652445,44614
 OPE SMITH ,1356.588419,44615
 The Velostacks ,1356.540755,44616
 El West ,1356.3781,44617
 Beth Macari ,1356.042798,44618
 The Whiskey Circle ,1355.723425,44619
 The Irons - Iron Maiden Tribute ,1355.144204,44620
 Freya Ridings ,1355.058591,44621
 Seven Cities ,1354.777621,44622
 Kemo For Emo ,1352.997638,44623
 Richard Julian ,1352.553006,44624
 Blynd Birds ,1352.442197,44625
 Jil Caplan ,1352.149356,44626
 Arthur Lastmann ,1352.097437,44627
 Six Stories Told ,1351.859171,44628
 Late Night Savior ,1351.187394,44629
 The Rising Souls ,1350.839746,44630
 Peluche ,1350.730007,44631
 The Sellout ,1350.487621,44632
 Fisherman's Friends ,1350.31906,44633
 Grippers ,1349.918788,44634
 Bmotion ,1348.768513,44635
 The Lethal Idols ,1348.63796,44636
 An Ocean of Void ,1348.620601,44637
 ALLISON POLANS ,1347.851563,44638
 Valmir Lira & Percussão ,1347.103498,44639
 Juanjo Mosalini ,1346.939452,44640
 Pablo ,1346.660543,44641
 Levi Burkle Music ,1346.528927,44642
 Mark Mallman ,1345.991122,44643
 Miss Kaytie ,1345.418889,44644
 People Making Noises ,1344.94559,44645
 Heels over Head ,1344.518372,44646
 The Cunningham Wake ,1344.333975,44647
 Invicta ,1344.147222,44648
 Patrick Pizzorni ,1342.899891,44649
 I Love You Honey Bunny ,1342.823253,44650
 Syd Lawrence Orchestra ,1341.847578,44651
 Will Solomon ,1340.973601,44652
 Bourbon Road Band ,1339.106735,44653
 Little Nikki's Radio ,1339.084283,44654
 Thrill Collins ,1339.026944,44655
 Sunflower Thieves ,1338.463549,44656
 November Lights ,1338.380528,44657
 Piracy Conspiracy ,1338.158688,44658
 SEX SWING ,1337.454586,44659
 Calvera ,1336.937219,44660
 The Bottle Tops ,1336.908579,44661
 the Way Up ,1336.067162,44662
 Vaguess ,1335.954296,44663
 Prince Waly ,1335.845007,44664
 Fresh Crew ,1335.743481,44665
 Prime Suspects ,1335.554631,44666
 A.Professor ,1335.10106,44667
 Ard Adz ,1335.08819,44668
 Circle One ,1334.860007,44669
 Metalfier ,1334.738561,44670
 Uncle Stump ,1334.649429,44671
 Jordan Igoe ,1334.644606,44672
 THE UPTOWN MONOTONES ,1334.238443,44673
 Taylor Crawford ,1333.940775,44674
 Lisbon ,1333.566523,44675
 Malas ,1333.477218,44676
 Pascale Voltaire ,1333.47627,44677
 Step Daw ,1333.295841,44678
 The Swimming Pool Q's ,1332.872089,44679
 Dimo (BG) ,1332.69041,44680
 The Rocking Horse Club ,1332.687635,44681
 Northern Arms ,1332.576254,44682
 Amigos Nobles ,1332.505343,44683
 Matthew Lindley ,1331.505892,44684
 Nile Ross ,1331.212946,44685
 Music House ,1331.106265,44686
 Urban Tropic ,1331.080468,44687
 Casual Relapse ,1330.927513,44688
 Dirty Bird Band ,1330.551982,44689
 False Report ,1330.504909,44690
 Metropole Orchestra ,1329.983644,44691
 Bon Jovi UK ,1329.924646,44692
 panoptica orchestra ,1329.732807,44693
 Shak Nasti ,1328.868903,44694
 Deities ,1328.638359,44695
 BLACKUP + BRAT FARRAR ,1328.200952,44696
 Yucky Duster ,1327.592655,44697
 DieAlps! ,1327.590375,44698
 The GlOomies ,1327.587744,44699
 The Filth And The Fury - Sex Pistols Tribute ,1327.265854,44700
 The Cadleys ,1326.64006,44701
 Mathew Brennt ,1326.429734,44702
 Bow and Hammer ,1325.973938,44703
 Apollo Junction ,1325.973434,44704
 Tyler Steel ,1324.554882,44705
 lili poe ,1323.849497,44706
 Ancient Spell ,1323.738637,44707
 Labelle ,1323.368783,44708
 Kill Chaos ,1323.323766,44709
 The Armadillos ,1323.280122,44710
 Pall Jenkins ,1323.076078,44711
 Be'la Dona ,1322.383865,44712
 Juan Cruz Barrueco ,1322.161952,44713
 PINSKI ,1321.179045,44714
 New Nordic Jazz ,1321.165059,44715
 The Smiths Utd ,1320.640531,44716
 Horrible Histories ,1320.604894,44717
 Beautiful Strangers ,1320.253776,44718
 Walking Rumor ,1320.222266,44719
 Sunlaand ,1319.975166,44720
 Kings of Karaoke ,1319.685021,44721
 Kalyma ,1318.897555,44722
 Western Youth ,1318.689492,44723
 Donnie D ,1318.290646,44724
 Kasai Masai ,1318.13387,44725
 The Dice ,1317.996934,44726
 Anti-Clone ,1317.901245,44727
 Dave Burn ,1317.455156,44728
 Jason Spooner ,1317.20922,44729
 Yet It Moves ,1315.804828,44730
 JB & The 70s ,1315.689953,44731
 The Cutouts ,1314.927552,44732
 Electric Carlos ,1314.89564,44733
 Glazed ,1313.76298,44734
 Jasmine Minks ,1313.151398,44735
 Fikus ,1312.886664,44736
 Johan Elgstrom ,1312.861124,44737
 Mask of Judas ,1312.804056,44738
 Alex Bayly ,1312.432039,44739
 Bob Burger Music ,1312.028122,44740
 Lucas Pino ,1311.872229,44741
 Sleepy Eyes ,1311.380679,44742
 Electric child-house ,1310.96769,44743
 Peter Perrett ,1310.728762,44744
 Narrow/Arrow ,1309.6924,44745
 Yatao ,1309.41464,44746
 Inside Outlaws ,1309.133243,44747
 PPG ,1308.964179,44748
 Triggers & Slips ,1308.941321,44749
 Cancerous Womb ,1308.830304,44750
 XDS ,1308.336022,44751
 Hot Fire ,1308.038748,44752
 PJ Zahn ,1307.851994,44753
 Raspy Junker ,1307.321543,44754
 Fuzzwalker ,1307.223077,44755
 Flare ,1307.090674,44756
 Single By Sunday ,1306.829359,44757
 dr walker ,1306.743087,44758
 Line Brawl ,1306.687242,44759
 Derek Nelson ,1306.029914,44760
 Girlboy ,1306.028566,44761
 Einstimmig ,1306.013517,44762
 Jo Dahan ,1305.568095,44763
 August First ,1304.721964,44764
 Can I Say ,1304.48021,44765
 Undercover Monsters ,1304.133623,44766
 Natalie Hemby ,1303.803711,44767
 Buildings ,1303.735744,44768
 Mudfoot ,1303.391867,44769
 The Gospelaires ,1303.333282,44770
 Den Flygande Bokrullen ,1303.168512,44771
 The Dear Misses ,1303.133856,44772
 Opiate - A Tribute to the Music of TOOL ,1302.82165,44773
 Inge & Heinz ,1301.808482,44774
 My Brother The Bear ,1301.422315,44775
 Barracuda Premiere Heart Tribute USA ,1301.344475,44776
 Sirens in the Delta ,1301.258602,44777
 THE LAST STAND NYHC ,1301.140394,44778
 Olivier Heim ,1301.108862,44779
 The Pamlico Sound ,1301.037124,44780
 Jasmine Rodgers Music ,1300.902252,44781
 THE HEDGEHOG SEXTET ,1300.309024,44782
 Ratnip ,1300.013189,44783
 Taking Hayley ,1299.597304,44784
 Pogo Pops ,1298.955564,44785
 Johnny Ryan ,1298.797203,44786
 Sam Chalcraft ,1297.97033,44787
 Treehouse Sanctum ,1297.700414,44788
 Pout At The Devil ,1297.274038,44789
 Vigil Annie ,1297.049492,44790
 Giles Corey ,1296.962121,44791
 Motorbeast ,1296.473493,44792
 Down By Five ,1295.850857,44793
 Charlie Law ,1295.773692,44794
 Wig Party ,1295.711364,44795
 Judas ? Resurrection ,1295.672141,44796
 In the CAN ,1294.756842,44797
 Riverbend ,1294.610458,44798
 Innervision ,1294.516955,44799
 Left Arm Tan ,1294.496418,44800
 Perrez ,1294.474148,44801
 Kellen of Troy ,1294.466757,44802
 Ständut Blakk ,1294.09924,44803
 Waking Tera ,1293.980782,44804
 Colpocleisis ,1293.8213,44805
 John Tams ,1293.724501,44806
 Les Insus ,1292.881061,44807
 BELFAST ,1291.051261,44808
 We Are FSTVL ,1290.633573,44809
 Rybicky48 ,1290.224721,44810
 Rico Tubbs ,1289.935793,44811
 Black Witches ,1287.903813,44812
 Liubo Ursiny ,1287.459424,44813
 57 State ,1287.18674,44814
 Cuzco ,1287.162581,44815
 Manzanita ,1286.82625,44816
 Ata Demirer ,1286.033894,44817
 No Time ,1285.977687,44818
 Jeffrey Alan Band ,1285.880473,44819
 No Red Alice ,1285.802213,44820
 Ghosts I've Met ,1285.692435,44821
 Gov Club ,1285.151411,44822
 DEATHAWAITS ,1284.715298,44823
 Dj John Cardona ,1284.069704,44824
 esthen dehut ,1284.043733,44825
 Scott & Steve ,1283.901082,44826
 The Holy Warheads ,1283.810092,44827
 Reisender ,1282.476732,44828
 The FB Pocket Orchestra ,1282.368589,44829
 PET ENVY ,1282.160143,44830
 45rpmny ,1281.565959,44831
 Dry Reef ,1281.545108,44832
 Swing That Cat ,1281.532411,44833
 Balfor ,1281.524882,44834
 Sunset Voodoo ,1281.292948,44835
 Common Ground 521 ,1280.933508,44836
 Paradigm Shift Jazz ,1280.858693,44837
 Positive Rising ,1280.797954,44838
 Outshined (Tribute to Soundgarden & Temple Of The Dog) ,1280.61049,44839
 The Desert Beats ,1280.436767,44840
 DUSTY ROADS ,1280.369752,44841
 DJ Indica Jones ,1279.76396,44842
 Valeras ,1279.703625,44843
 Aleksandra Kurzak ,1279.481047,44844
 Creem Circus ,1279.076813,44845
 Napalm Strike ,1278.684617,44846
 Tamara Hansson ,1278.42073,44847
 Gehtika ,1278.373066,44848
 Mike Blair and the Stonewalls ,1278.301343,44849
 Neon Velvet ,1277.896536,44850
 TRC & Brutality Will Prevail ,1277.347042,44851
 For the Imperium ,1277.093361,44852
 The New Varsity ,1277.077166,44853
 Jazztime ,1276.541401,44854
 Les BoNoBoS ,1276.53231,44855
 Bengali 600 ,1275.056688,44856
 Black Magnolia ,1274.785973,44857
 Big Sherb ,1273.782608,44858
 Needles Musik ,1272.678153,44859
 Brooks Ritter and The Lower Lights ,1272.634492,44860
 Brokenteeth Rock ,1272.381559,44861
 Roncovacoco ,1272.043149,44862
 Permanent Wave ,1271.819916,44863
 The Mystery Achievement ,1270.748612,44864
 Sacramento Master Singers ,1270.727291,44865
 Elise LeGrow ,1270.00943,44866
 They All Float ,1269.97085,44867
 Kanko Of The Snake ,1269.576166,44868
 Anders F Rönnblom ,1269.341801,44869
 Big Pheel ,1269.206892,44870
 the Redemptions ,1268.490358,44871
 masaé gimbayashi-barbotte ,1268.066844,44872
 Pianist Masaé Gimbayashi-Barbotte???????? ,1268.066844,44873
 Lucien Et Les Arpettes ,1267.718275,44874
 Saltee ,1267.695958,44875
 Scars of Envy ,1267.64807,44876
 Gold_ Frankincense_ and Myrrh ,1267.317195,44877
 Discount Cinema ,1267.117141,44878
 TOOM ,1267.073208,44879
 Green Thirteen ,1266.841012,44880
 Bottom Dwellers ,1266.636173,44881
 Westbrook ,1266.224242,44882
 Picnic_ Lightning ,1266.15148,44883
 serial butcher ,1266.076224,44884
 New Blues Revolution ,1265.861919,44885
 Organisms ,1265.441615,44886
 H.B.H. ,1264.222891,44887
 Pleasant Drive ,1263.959511,44888
 Ruby and The Rogues ,1263.940868,44889
 El Bronson ,1263.764174,44890
 Laure Donnat ,1263.611578,44891
 Greg Russell and Ciaran Algar ,1263.428299,44892
 Danny Delegato ,1263.246206,44893
 Dunies ,1263.115629,44894
 Headsticks ,1262.81815,44895
 Blame ,1262.62968,44896
 Blizzard ,1262.534575,44897
 Jim McCue ,1262.215407,44898
 Six Shot Revival ,1261.988919,44899
 Angelina Wismes ,1261.856598,44900
 Rodgau Monotones ,1261.510143,44901
 Daoirí Farrell ,1261.460661,44902
 KISS GB ,1261.369414,44903
 Crewsade ,1260.654196,44904
 Roots Zombie ,1260.530015,44905
 Taller Younger Brother ,1260.493562,44906
 Luke and The Drifters ,1259.938951,44907
 Foreign Figures ,1259.511455,44908
 Whiskey Loco ,1259.305891,44909
 Czech Brass ,1259.298746,44910
 Portland - Band ,1259.20094,44911
 Degrader ,1259.044196,44912
 Children of the Moon ,1258.931127,44913
 North Runner ,1258.1744,44914
 Mark Junior ,1257.741356,44915
 The Latin Section ,1257.224943,44916
 The Apology Tour ,1257.068309,44917
 The Antecedents ,1256.997078,44918
 Diana Zinni ,1256.890051,44919
 Jacob Powell ,1256.756762,44920
 The Vernes ,1256.547074,44921
 Sweet Little Bloodhound ,1256.351139,44922
 Thought Forms ,1255.811853,44923
 Bird Concerns ,1255.714293,44924
 Derek Morris ,1255.664879,44925
 SEAN CARSCADDEN ,1255.411919,44926
 Bry ,1255.325049,44927
 Stupid Flanders ,1255.025414,44928
 Up River ,1254.836479,44929
 Opius Bliss ,1254.79897,44930
 Ohlala ,1254.786456,44931
 A Dying Ultimatum ,1254.141261,44932
 MiC LOWRY ,1253.720553,44933
 DJ Digg ,1253.118363,44934
 Dear Marsha_ ,1252.978003,44935
 Almighty American ,1252.364092,44936
 Mark McKay ,1252.28332,44937
 Reggie Washington ,1252.21252,44938
 Nick Pride ,1251.794795,44939
 Sean Dixon ,1251.45715,44940
 Brent Byrd & The Suitcase Gypsies ,1250.920728,44941
 Matt Wax ,1250.752838,44942
 Krema Kawa ,1250.697893,44943
 Grivo ,1249.888593,44944
 Trouble No More ,1249.656945,44945
 Idle Fingers duo ,1249.013619,44946
 Jelly Roll Johnson ,1248.629729,44947
 Kate Kelly ,1248.506583,44948
 Stuffy Shmitt ,1248.403334,44949
 Nite Wave ,1248.302722,44950
 Elegies ,1247.890426,44951
 Dewey and the Peoples ,1247.650185,44952
 Jacob Riddall Music ,1247.354745,44953
 Feedel Band ,1247.050759,44954
 Body Pressure ,1246.676974,44955
 Highland Rose ,1246.581998,44956
 Psychoprism ,1246.579367,44957
 Les Grys-Grys ,1246.45623,44958
 A Strength Within ,1246.161549,44959
 Anchor ,1246.161549,44960
 Carsick Radio ,1245.878806,44961
 Red Hymns ,1245.661048,44962
 Ruckle ,1245.565155,44963
 The Traveling Suitcase ,1245.005318,44964
 Hyzenborg ,1244.485511,44965
 The Priscillas ,1244.356852,44966
 Christina Cavazos ,1244.298708,44967
 Infinite Sleep ,1243.878383,44968
 Xol Azul Band ,1243.393895,44969
 Brassens not dead ,1242.5628,44970
 Dyhanna ,1242.497326,44971
 BLIND WITNESS---working on ... ,1241.574586,44972
 Local Broadcast ,1241.172745,44973
 The Airplane ,1240.872352,44974
 Janey Street ,1240.70747,44975
 Blonde ,1240.526383,44976
 Broederliefde ,1240.403968,44977
 Blassportgruppe ,1239.820219,44978
 Skandalism ,1238.950151,44979
 Dig It Up ,1238.79999,44980
" Tim ""Figg"" Newton ",1238.789153,44981
 Zak Downtown ,1238.743717,44982
 Ambeyance ,1238.495008,44983
 Libido Funk Circus ,1238.274754,44984
 Nacht der Gitarren ,1238.09205,44985
 Johnny Beauford ,1237.980214,44986
 Sensible ,1237.488252,44987
 Swiss Lips ,1237.220665,44988
 Sweepyheads ,1236.893099,44989
 Jeff Taylor ,1236.698015,44990
 Ali McGuirk ,1236.688905,44991
 Kirstie Lovelady ,1234.995507,44992
 Kuestenklatsch ,1234.696282,44993
 Last Judgement ,1234.319117,44994
 The Black Diamonds ,1234.056613,44995
 Psychic Love ,1233.406067,44996
 Inner Temple ,1232.792927,44997
 Empty Garden ,1232.320982,44998
 DJ Wild ,1231.562213,44999
 The Copperheads ,1231.498826,45000
 DEADIRON ,1231.412348,45001
 Personal Public ,1231.400045,45002
 Psychobabylon ,1230.814162,45003
 Run Raquel ,1230.571055,45004
 Chasing Dragons ,1228.959711,45005
 Charles Havira ,1228.347312,45006
 Penrose ,1227.970293,45007
 Nynningen ,1227.93582,45008
 National Youth Jazz Orchestra ,1227.321992,45009
 Rain Check (TX) ,1226.988099,45010
 Them Coulee Boys ,1226.80952,45011
 JAR OF FLIES (the ultimate AIC experience) ,1226.463422,45012
 Itoldyouiwouldeatyou ,1226.212443,45013
 Chris Watts ,1225.475215,45014
 Kouki Dee ,1225.458953,45015
 The Physics House Band ,1225.119166,45016
 Hipsway ,1225.061075,45017
 Iris Divine ,1224.926052,45018
 Brenna Carroll ,1224.824379,45019
 Eva Lin ,1224.77826,45020
 Que Sera ,1224.577289,45021
 Adian Coker ,1224.356921,45022
 Eric Riggsbee ,1223.715218,45023
 Arvia ,1223.405151,45024
 Augusta Greenjackets ,1222.319172,45025
 Sarah Wise ,1222.218302,45026
 Lewis Duggleby ,1222.179158,45027
 UNFOLD_Music ,1220.493464,45028
 Carl Anderson ,1220.448378,45029
 black kennedy ,1220.378605,45030
 Kingsnake ,1219.927634,45031
 Hipnostic ,1219.907955,45032
 Atlas Pain ,1219.783421,45033
 Funeral For A Clown ,1219.529436,45034
 Rumours Follow ,1219.514015,45035
 LILI SO FAR ,1219.115712,45036
 CajsaStina Åkerström ,1218.798963,45037
 Ashley Monical ,1218.758193,45038
 Hard Action ,1218.694623,45039
 The Hollers ,1218.429208,45040
 Clepto ,1218.370892,45041
 Sirius Blvck ,1217.887464,45042
 Larz-Kristerz ,1217.703583,45043
 Holi Festival der Farben ,1217.662079,45044
 Carved Out ,1217.153911,45045
 The Ericksons ,1216.823667,45046
 Tektonic ,1216.765994,45047
 Lethal Shöck ,1216.568054,45048
 The Grizzly Band ,1215.896895,45049
 Darknight ,1215.864419,45050
 Ten Miles Wide ,1215.571009,45051
 Ex-Easter Island Head ,1215.260227,45052
 DJ Forge ,1214.917205,45053
 Calumet ,1214.847886,45054
 Eager Teeth ,1214.769828,45055
 Stefanie Fix ,1214.662862,45056
 Marjan Shaki ,1214.594171,45057
 Florence Miller Agency ,1214.408722,45058
 Unhinged NJ ,1214.106848,45059
 DEAD EYES ,1213.680822,45060
 Buddy Flett ,1213.476204,45061
 Fort Wilson Riot ,1213.398982,45062
 Rain May Fall ,1212.358765,45063
 Gary Nicholson ,1212.247185,45064
 Young Distractions ,1212.237367,45065
 Lovelorn Regal ,1212.078206,45066
 Rebecca Jasso ,1211.940722,45067
 Gus Harrower ,1211.573632,45068
 Yandy Smith ,1211.516725,45069
 KATDELIC ,1211.511172,45070
 Spillage ,1211.237787,45071
 The Black Tears ,1211.226224,45072
 Slow Jams ,1210.781371,45073
 Anton Ruud i Terapi ,1210.72175,45074
 Matt Mez SAX ,1210.679601,45075
 MIKE BOLLAND ,1210.230093,45076
 Dethrone The Deceiver ,1210.060035,45077
 AufTakt ,1209.832784,45078
 Brother Nothing ,1209.663649,45079
 redray frazier ,1209.570715,45080
 Emilia Mitiku ,1209.398258,45081
 Kairos. ,1209.339615,45082
 Niels Skousen ,1209.218352,45083
 Cibo ,1209.090119,45084
 Crisis A.D. ,1208.840276,45085
 A Light Among Many ,1208.527413,45086
 Sourdure ,1208.259917,45087
 Two Tone Wolf Pack ,1208.225013,45088
 milkers ,1207.690353,45089
 Les Deuxluxes ,1207.457621,45090
 Céline Ollivier ,1207.454153,45091
 SONIA LEE ,1207.319715,45092
 Thomas Savy ,1207.177678,45093
 Owl Creek Band ,1207.159,45094
 Hemlines ,1206.846452,45095
 Aaron Berg ,1206.718453,45096
 The Wind Playing Tricks ,1204.336128,45097
 Astrosaur ,1204.329298,45098
 Attitude Adjustment ,1203.881382,45099
 INJUNUITY ,1203.827567,45100
 Carole Walker Music ,1203.66075,45101
 Falkenberg ,1203.047482,45102
 noNCompliant ,1202.502082,45103
 Day Labor ,1202.224651,45104
 Stud1nt ,1202.206472,45105
 Ya Boi KT ,1202.187312,45106
 Mason Hill ,1202.09888,45107
 LIVE AT THE FILLMORE™_ The Definitive Tribute to the Original Allman Brothers Band ,1201.365999,45108
 Horace Gold ,1200.008129,45109
 Fond Han ,1199.805201,45110
 Longface ,1199.640582,45111
 George Quartz ,1199.106013,45112
 Nadamas ,1199.048092,45113
 Bernhard ,1198.946046,45114
 David Grace Music ,1198.495871,45115
 Die jungen Zillertaler ,1198.379889,45116
 Misshaped Fortune ,1198.176902,45117
 Drugstore Ghost ,1197.034266,45118
 Duppies ,1197.018783,45119
 Shoebox ,1196.42749,45120
 The Survival Code ,1196.225728,45121
 The Color and Sound ,1196.10438,45122
 Med Karoline Krüger ,1195.86246,45123
 SOLID RAVE ,1195.83385,45124
 Chorizo ,1195.193355,45125
 This Amity ,1195.054631,45126
 Mark Nightingale ,1194.528628,45127
 Baby D. ,1194.480683,45128
 Audra Mclaughlin ,1194.386176,45129
 Laura Barnett ,1194.259603,45130
 Constant Follower ,1194.040118,45131
 Arthur Moon ,1193.502874,45132
 Habb. ,1193.415417,45133
 Chris Swartz ,1192.940259,45134
 Aaron Parnell Brown ,1192.428777,45135
 True Blue Band ,1192.302139,45136
 XERO FUSION ,1192.146582,45137
 Kaitlyn Alyse ,1191.836873,45138
 Wisdom Speeks ,1191.593724,45139
 Emma O'Reilly ,1191.261393,45140
 Fa mao ,1191.178946,45141
 Art Four Sale ,1191.04884,45142
 J.C. Smith Band ,1190.85472,45143
